xpos,value
1315,0.418340
1316,0.418103
1317,0.417866
1318,0.417628
1319,0.417391
1320,0.417154
1321,0.416917
1322,0.416680
1323,0.416443
1324,0.416206
1325,0.415968
1326,0.415731
1327,0.415494
1328,0.415257
1329,0.415020
1330,0.414783
1331,0.414545
1332,0.414308
1333,0.414071
1334,0.413834
1335,0.413597
1336,0.413360
1337,0.413123
1338,0.412885
1339,0.412648
1340,0.412395
1341,0.412142
1342,0.411889
1343,0.411636
1344,0.411383
1345,0.411130
1346,0.410877
1347,0.410625
1348,0.410372
1349,0.410119
1350,0.409866
1351,0.409613
1352,0.409360
1353,0.409107
1354,0.408854
1355,0.408601
1356,0.408348
1357,0.408095
1358,0.407842
1359,0.407589
1360,0.407336
1361,0.407083
1362,0.406830
1363,0.406577
1364,0.406324
1365,0.406071
1366,0.405818
1367,0.405565
1368,0.405312
1369,0.405059
1370,0.404806
1371,0.404553
1372,0.404300
1373,0.404047
1374,0.403794
1375,0.403542
1376,0.403289
1377,0.403036
1378,0.402783
1379,0.402530
1380,0.402277
1381,0.402024
1382,0.401771
1383,0.401518
1384,0.401265
1385,0.401012
1386,0.400759
1387,0.400506
1388,0.400253
1389,0.400000
1390,0.399806
1391,0.399613
1392,0.399419
1393,0.399226
1394,0.399032
1395,0.398838
1396,0.398645
1397,0.398451
1398,0.398258
1399,0.398064
1400,0.397870
1401,0.397677
1402,0.397483
1403,0.397290
1404,0.397096
1405,0.396902
1406,0.396709
1407,0.396515
1408,0.396322
1409,0.396128
1410,0.395934
1411,0.395741
1412,0.395547
1413,0.395354
1414,0.395160
1415,0.394967
1416,0.394773
1417,0.394579
1418,0.394386
1419,0.394192
1420,0.393999
1421,0.393805
1422,0.393611
1423,0.393418
1424,0.393224
1425,0.393031
1426,0.392837
1427,0.392643
1428,0.392450
1429,0.392256
1430,0.392063
1431,0.391869
1432,0.391675
1433,0.391482
1434,0.391288
1435,0.391095
1436,0.390901
1437,0.390707
1438,0.390514
1439,0.390277
1440,0.390040
1441,0.389802
1442,0.389565
1443,0.389328
1444,0.389091
1445,0.388854
1446,0.388617
1447,0.388379
1448,0.388142
1449,0.387905
1450,0.387668
1451,0.387431
1452,0.387194
1453,0.386957
1454,0.386719
1455,0.386482
1456,0.386245
1457,0.386008
1458,0.817391
1459,0.818024
1460,0.818656
1461,0.819288
1462,0.819921
1463,0.820553
1464,0.821186
1465,0.821818
1466,0.822451
1467,0.823083
1468,0.823715
1469,0.824348
1470,0.824980
1471,0.825613
1472,0.826245
1473,0.826877
1474,0.827510
1475,0.828142
1476,0.828775
1477,0.829407
1478,0.830040
1479,0.830672
1480,0.831304
1481,0.831937
1482,0.832569
1483,0.833202
1484,0.833834
1485,0.834466
1486,0.835099
1487,0.835731
1488,0.836364
1489,0.836996
1490,0.837628
1491,0.838261
1492,0.838893
1493,0.839526
1494,0.840158
1495,0.840791
1496,0.841423
1497,0.842055
1498,0.842688
1499,0.843204
1500,0.843720
1501,0.844236
1502,0.844753
1503,0.845269
1504,0.845785
1505,0.846301
1506,0.846818
1507,0.847334
1508,0.847850
1509,0.848366
1510,0.848883
1511,0.849399
1512,0.849915
1513,0.850432
1514,0.850948
1515,0.851464
1516,0.851980
1517,0.852497
1518,0.853013
1519,0.853529
1520,0.854045
1521,0.854562
1522,0.855078
1523,0.855594
1524,0.856110
1525,0.856627
1526,0.857143
1527,0.857659
1528,0.858175
1529,0.858692
1530,0.859208
1531,0.859724
1532,0.860240
1533,0.860757
1534,0.861273
1535,0.861789
1536,0.862305
1537,0.862822
1538,0.863338
1539,0.863854
1540,0.864370
1541,0.864887
1542,0.865403
1543,0.865919
1544,0.866435
1545,0.866952
1546,0.867468
1547,0.867984
1548,0.868427
1549,0.868870
1550,0.869312
1551,0.869755
1552,0.870198
1553,0.870640
1554,0.871083
1555,0.871526
1556,0.871968
1557,0.872411
1558,0.872854
1559,0.873296
1560,0.873739
1561,0.874182
1562,0.874624
1563,0.875067
1564,0.875510
1565,0.875953
1566,0.876395
1567,0.876838
1568,0.877281
1569,0.877723
1570,0.878166
1571,0.878609
1572,0.879051
1573,0.879494
1574,0.879937
1575,0.880379
1576,0.880822
1577,0.881265
1578,0.881707
1579,0.882150
1580,0.882593
1581,0.883036
1582,0.883478
1583,0.883921
1584,0.884364
1585,0.884806
1586,0.885249
1587,0.885692
1588,0.886134
1589,0.886577
1590,0.887020
1591,0.887462
1592,0.887905
1593,0.888348
1594,0.888791
1595,0.889233
1596,0.889676
1597,0.890119
1598,0.890348
1599,0.890577
1600,0.890806
1601,0.891035
1602,0.891264
1603,0.891493
1604,0.891723
1605,0.891952
1606,0.892181
1607,0.892410
1608,0.892639
1609,0.892868
1610,0.893097
1611,0.893326
1612,0.893556
1613,0.893785
1614,0.894014
1615,0.894243
1616,0.894472
1617,0.894701
1618,0.894930
1619,0.895160
1620,0.895389
1621,0.895618
1622,0.895847
1623,0.896076
1624,0.896305
1625,0.896534
1626,0.896764
1627,0.896993
1628,0.897222
1629,0.897451
1630,0.897680
1631,0.897909
1632,0.898138
1633,0.898367
1634,0.898597
1635,0.898826
1636,0.899055
1637,0.899284
1638,0.899513
1639,0.899742
1640,0.899971
1641,0.900200
1642,0.900430
1643,0.900659
1644,0.900888
1645,0.901117
1646,0.901346
1647,0.901575
1648,0.901804
1649,0.902034
1650,0.902263
1651,0.902492
1652,0.902721
1653,0.902950
1654,0.903179
1655,0.903408
1656,0.903638
1657,0.903867
1658,0.904096
1659,0.904325
1660,0.904554
1661,0.904783
1662,0.905012
1663,0.905241
1664,0.905471
1665,0.905700
1666,0.905929
1667,0.906057
1668,0.906184
1669,0.906312
1670,0.906440
1671,0.906568
1672,0.906695
1673,0.906823
1674,0.906951
1675,0.907079
1676,0.907206
1677,0.907334
1678,0.907462
1679,0.907590
1680,0.907717
1681,0.907845
1682,0.907973
1683,0.908101
1684,0.908229
1685,0.908356
1686,0.908484
1687,0.908612
1688,0.908740
1689,0.908867
1690,0.908995
1691,0.909123
1692,0.909251
1693,0.909378
1694,0.909506
1695,0.909634
1696,0.909762
1697,0.909889
1698,0.910017
1699,0.910145
1700,0.910273
1701,0.910400
1702,0.910528
1703,0.910656
1704,0.910784
1705,0.910912
1706,0.911039
1707,0.911167
1708,0.911295
1709,0.911423
1710,0.911550
1711,0.911678
1712,0.911806
1713,0.911934
1714,0.912061
1715,0.912189
1716,0.912317
1717,0.912445
1718,0.912572
1719,0.912700
1720,0.912828
1721,0.912956
1722,0.913083
1723,0.913211
1724,0.913339
1725,0.913467
1726,0.913594
1727,0.913722
1728,0.913850
1729,0.913978
1730,0.914105
1731,0.914233
1732,0.914361
1733,0.914489
1734,0.914617
1735,0.914744
1736,0.914872
1737,0.915000
1738,0.915128
1739,0.915255
1740,0.915383
1741,0.915511
1742,0.915639
1743,0.915766
1744,0.915894
1745,0.916022
1746,0.916150
1747,0.916277
1748,0.916405
1749,0.916533
1750,0.916661
1751,0.916788
1752,0.916916
1753,0.917044
1754,0.917172
1755,0.917299
1756,0.917427
1757,0.917555
1758,0.917683
1759,0.917810
